"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Status","Priority","Labels","Acceptance Criteria"
"Story","Notify team flow (onboarding-issue NotifyPanel kind)","As an Agent Manager I want one-click escalation to onboarding ops so I don't have to compose from scratch.","","Inbox · Onboarding","3","Done","High","inbox-onboarding notify ripley","- Routes to onboarding-ops@buzzworks.com (CC hr-ops)
- Subject: 'Onboarding blocker — <candidate> · <type>'
- Body lists candidate, client, issue type, docs, findings
- RIPLEY footnote present"
"Story","Request document flow (document-request NotifyPanel kind)","As an Agent Manager I want to nudge candidate for the right doc directly from the issue card.","","Inbox · Onboarding","3","Done","High","inbox-onboarding notify ripley","- Button on expanded row 'Request document'
- docType taken from issue.documents[0]
- Reason taken from issue.inconsistencies[0]
- Subject: 'Document update required — <docType>'"
"Story","Per-client onboarding tab on /clients/[id]","As an Account Manager I want to see only onboarding issues for my client so I can respond to them in context.","","Inbox · Onboarding","3","Done","Medium","inbox-onboarding clients","- Re-mounts OnboardingInbox with clientId prop
- Hides Client filter (already scoped)
- All other filters/sort/search remain
- Empty state when 0 issues for client"
"Story","Bulk mark-resolved + bulk Notify","As an Agent Manager I want to clear multiple resolved items at once so I'm not clicking each.","","Inbox · Onboarding","2","Done","Medium","inbox-onboarding bulk","- Per-row checkbox
- Sticky select-all
- Bulk bar: Mark resolved + Notify team + Clear
- Notify uses first selected as template (v3 batches)"
"Story","Sort modes: oldest / newest / severity / client","As an Agent Manager I want sort options so I can attack stale or high-severity first.","","Inbox · Onboarding","1","Done","Low","inbox-onboarding","- 4 sort modes
- Default: oldest first (age-desc)
- Selector right-aligned next to search"
"Story","Real candidate emails (not synthesised)","As an Agent Manager I want the document-request to go to a real candidate email so they actually receive it.","","Inbox · Onboarding","8","To Do","High","inbox-onboarding backend v3","- Application form captures candidate email
- Backend stores email on OnboardingIssue record
- Document-request builder reads real email instead of '<code>@candidate.in'
- Test: synthesise vs real email path produces correct To: line"
"Story","Per-client SLA targets","As an Operations Lead I want each client to have its own SLA threshold so age coloring matches contract.","","Inbox · Onboarding","5","To Do","Medium","inbox-onboarding sla v3","- Client config: per-stage SLA day count
- Aging thresholds read from client config
- Default fallback 3/7 days
- SLA breach badge appears past threshold"
"Epic","Inbox · Payroll","Lighter inbox (~72) with 7 issue types across 4 stages. Ranked by ₹ exposure; tracks cycle blockers separately.","Inbox · Payroll","",,"In Progress","High","inbox-payroll tron",""
"Story","7 payroll issue types with stage classification","As an Agent Manager I want to see payroll cycle blockers separately from pre-run prep work.","","Inbox · Payroll","3","Done","High","inbox-payroll","- 7 types: Bank validation / PT slab / LOP recon / OT pre-approval / PF ceiling / TDS / Bonus block
- 4 stages: pre-run / cycle-block / statutory / post-run
- 3 severities (high/medium/low)
- Deterministic generation via mulberry32 seeded with 20260429"
"Story","₹ exposure tracking + total in stats strip","As an Agent Manager I want to see total ₹ at risk across the filtered queue so I can prioritise.","","Inbox · Payroll","3","Done","High","inbox-payroll","- Each issue has amountImpact (₹)
- Per-row right-edge label using fmtINR
- Stats strip total: sum across filtered set
- ₹0 renders as '—' not '₹0'"
"Story","Stage / type / severity / client filters","As an Agent Manager I want to filter to one stage or issue type at a time so I can batch-resolve.","","Inbox · Payroll","2","Done","Medium","inbox-payroll filters","- 4 multi-selects, standard FilterDropdown
- Client filter hidden in per-client view
- Combine with AND"
"Story","Default sort by amount-desc (highest exposure first)","As an Agent Manager I want the biggest blockers at top so I clear blocking issues first.","","Inbox · Payroll","1","Done","High","inbox-payroll","- Default sort = amount desc
- Other modes: age-desc / severity / client
- Selector next to search"
"Story","Cycle blockers count in stats strip","As an Agent Manager I want a separate count of cycle blockers so I see if a payroll run is at risk.","","Inbox · Payroll","1","Done","High","inbox-payroll","- Stats strip shows: total / cycle blockers / total exposure
- Cycle blockers = stage === 'cycle-block'
- Numbers respect current filters"
"Story","Inline expand with exposure card + AI suggests","As an Agent Manager I want exposure + recommendation surfaced together so I can decide in one read.","","Inbox · Payroll","3","Done","Medium","inbox-payroll","- Expand: 2/3 issue details + 1/3 exposure card + AI suggests
- Exposure card: ₹ + 'across N employees'
- AI suggests card: pink-tinted with sparkle icon"
"Story","Notify team flow (payroll-issue NotifyPanel kind)","As an Agent Manager I want to escalate payroll blockers to finance team in one click.","","Inbox · Payroll","2","Done","High","inbox-payroll notify ripley","- Routes to payroll@buzzworks.com (CC finance-ops)
- Subject: 'Payroll review — <client> · <cycle>'
- Body lists issue type, affected count, details
- RIPLEY footnote"
"Story","Per-client payroll inbox tab","As an Account Manager I want to see only payroll issues for my client so I can speak to them with context.","","Inbox · Payroll","2","Done","Medium","inbox-payroll clients","- Re-mounts PayrollInbox with clientId prop
- Hides Client filter
- Empty state when 0 issues"
"Story","Cycle calendar header (T-7 / T-3 / T-0 / T+3)","As an Agent Manager I want to see where in the cycle we are so I know the urgency curve for each issue.","","Inbox · Payroll","8","To Do","Medium","inbox-payroll cycle v3","- Header strip shows current cycle T-day
- Visual markers at T-7, T-3, T-0, T+3
- Active marker highlights current position
- Per-client cycle config (weekly / monthly)"
"Epic","Inbox · Compliance","Action-required regulations from ORACLE; team escalation flow; deadline + cost-of-non-compliance ranking.","Inbox · Compliance","",,"In Progress","High","inbox-compliance oracle",""
"Story","Show only action-required regulations","As a Compliance Lead I want only the regulations that need action this period so I'm not noise-blind.","","Inbox · Compliance","2","Done","High","inbox-compliance","- Source: REGULATIONS where actionRequired === true
- Hidden if actionRequired = false (full library is in /compliance)
- Each row also shown in main library view"
"Story","Cost-of-non-compliance formula in row + stats strip","As a Compliance Lead I want to see total ₹ at risk across the actionable queue so I prioritise correctly.","","Inbox · Compliance","3","Done","High","inbox-compliance","- Formula: penalty + penalty * opsMultiplier + legalFloor
- opsMultiplier per operationalImpact band
- legalFloor per legalRisk band (min ₹50k for high)
- Stats strip aggregates across filtered set"
"Story","Deadline label with color thresholds","As a Compliance Lead I want overdue and near-overdue items visually loud so I don't miss them.","","Inbox · Compliance","2","Done","High","inbox-compliance","- Days < 0 → 'Nd overdue' (red)
- Today / Tomorrow / <7d → red
- <30d → amber
- else → neutral"
"Story","Category / impact area / client filters","As a Compliance Lead I want to slice the queue by category, impact area, or client so I plan focused work.","","Inbox · Compliance","2","Done","Medium","inbox-compliance filters","- 3 multi-select dropdowns
- Categories: 5 (Labour, Finance & Taxation, EHS, Commercial, Secretarial)
- Impact areas: 10
- Client filter only includes clients in actionable list"
"Story","Sort modes: deadline / cost / risk","As a Compliance Lead I want sort options so I can attack nearest deadline OR highest cost OR highest risk first.","","Inbox · Compliance","1","Done","Medium","inbox-compliance","- Default: nearest deadline
- Modes: deadline / cost / risk
- Risk sort: high → low precedence"
"Story","AI suggestion chip per category","As a Compliance Lead I want a one-line action hint so I know what to do next without reading the full reg.","","Inbox · Compliance","2","Done","Low","inbox-compliance","- Chip per row, pink-tinted
- Mapping: Labour → 'Update payroll rules' / Finance → 'Update tax config' / EHS → 'Compliance audit' / Commercial → 'Review contracts' / Secretarial → 'Update filings'
- Default: 'Review & assign'"
"Story","Notify team flow (compliance NotifyPanel kind)","As a Compliance Lead I want to escalate to ops-lead in one click with full context pre-filled.","","Inbox · Compliance","3","Done","High","inbox-compliance notify ripley","- Routes to ops-lead@buzzworks.com (CC compliance@buzzworks)
- Subject: 'Action required: <title (60 chars)>'
- Body: title, region, effective date, deadline, penalty, impacted clients
- RIPLEY footnote"
"Story","Mark-done removes row from actionable queue","As a Compliance Lead I want to clear an item once handled so it's out of my queue.","","Inbox · Compliance","2","Done","Medium","inbox-compliance","- Mark-done sets actionRequired = false locally
- Row removed from inbox immediately
- Library still shows reg
- v3: persist + audit trail"
"Story","SLA breach indicator on actionable rows","As a Compliance Lead I want a red badge when an actionable reg has been open >7d so I see drift.","","Inbox · Compliance","3","To Do","Medium","inbox-compliance v3","- Per-row 'SLA breach' badge when listedDate is older than 7 days
- Configurable threshold per category
- Sorts to top by default when present"
"Epic","Clients","Per-client list + 7-tab detail page; account-level KPIs; per-client compliance + onboarding + payroll cuts.","Clients","",,"In Progress","High","clients",""
"Story","11-client list with portal/manual classification","As an Account Manager I want to see all my client accounts in one grid with method/portal info so I know who's automated vs manual.","","Clients","3","Done","High","clients","- 11 cards in 1/2/3 col responsive grid
- Each card shows: avatar, name, code+industry, status, action count, 4 stats, compliance bar, footer
- Method chip: Manual (lavender) or portal name (portal color)"
"Story","Industry / Region / Source filters","As an Operations Lead I want to filter clients by industry / region / source so I can compare segments.","","Clients","2","Done","Medium","clients filters","- 3 multi-selects
- Source options: Fieldglass / BeeLine / Manual (no portal)
- Region: state-based, derived from clients array
- Industry: 11 enum"
"Story","Sort by employees / payroll / compliance / name","As an Operations Lead I want to sort the list so I can see biggest accounts or worst-compliant first.","","Clients","1","Done","Low","clients","- 4 sort modes
- Default: employees desc
- Sort persists across filter changes"
"Story","Action count badge with click → /compliance","As an Account Manager I want to see how many compliance items affect each client and click through to handle them.","","Clients","2","Done","Medium","clients","- Badge with bell icon + count
- Visible when actionable compliances > 0
- Click → /compliance (filtered to client) (v3 deep link)"
"Story","Compliance score color thresholds","As an Operations Lead I want compliance health visually summarised so I see weak accounts.","","Clients","1","Done","Low","clients","- Bar with color: ≥90 green / ≥75 amber / <75 red
- % shown right of bar"
"Story","Client detail page header with KPI pills","As an Account Manager I want a snapshot of an account's vitals when I open it.","","Clients","3","Done","High","clients detail","- Header: avatar, name, industry, method/portal chips, city/state/policy/AM
- 4 right-side KPI pills: active employees, pending TS, monthly payroll, compliance score
- Pending TS uses warn color when > 0"
"Story","7-tab structure on client detail","As an Account Manager I want all client info under tabs so I can switch context fast.","","Clients","5","Done","High","clients detail","- Tabs in order: Overview / Timesheets / Employees / Onboarding / Policy / Compliance / Payroll
- Tab change does not reload header
- Active tab indicated with accent color"
"Story","Overview tab: revenue & ops cost efficiency chart","As an Operations Lead I want CFO-style view of an account's economics.","","Clients","5","Done","High","clients detail charts","- Revenue bars + ops cost % line, 6-month trend
- 4 KPI tiles: monthly revenue, ops cost, agent coverage, ops cost % of rev
- Agent coverage chart: % automated by 5 work streams"
"Story","Stakeholder strip on client compliance tab","As an Account Manager I want to see who'll be emailed for client comms so I'm confident before sending.","","Clients","2","Done","High","clients detail compliance notify","- Strip shows AM name + client contact name + 2 CC addresses
- Renders above per-regulation cards
- Resolved via getClientContacts(client)"
"Story","Per-regulation Notify team button on client compliance tab","As an Account Manager I want to email the client about a specific regulation in one click.","","Clients","3","Done","High","clients detail compliance notify ripley","- Each regulation card: Notify team (primary) + Full article (ghost) + external source
- Notify uses client-compliance NotifyPanel kind
- To: clientContact + AM, CC: compliance-ops + compliance@<client-domain>"
"Story","Onboarding tab embeds OnboardingInbox component","As an Account Manager I want client-scoped onboarding queue without leaving the client page.","","Clients","2","Done","Medium","clients detail onboarding","- OnboardingInbox component re-mounted with clientId prop
- Client filter hidden inside the inbox
- All other filters work"
"Story","Policy tab lists per-client rules","As a Compliance Lead I want to see which rules apply specifically to one client.","","Clients","3","Done","Medium","clients detail policy","- Calls getClientPolicyRules(clientId)
- Each rule: category + severity rail + name + AI badge + trigger line + usage stats
- Empty state with 'Open Policy Engine' CTA"
"Story","Payroll tab lists per-client batches","As an Account Manager I want to see payroll batches for my client so I can answer status questions.","","Clients","3","Done","Medium","clients detail payroll","- List of batches via getClientPayrollBatches(clientId)
- Each batch: period, status, hold count, 3 stats (TS, hours, amount), action button
- Pending → Approve, Draft → Review"
"Story","Persist tab state in URL","As an Agent Manager I want to deep-link to a specific tab on a client page.","","Clients","3","To Do","Low","clients detail v3","- ?tab=Compliance encoded in URL
- Browser back/forward works
- Refresh stays on same tab"
"Epic","Employees & Pay Grade","9×9 pay grade lattice (A1..I9), 3 pay modes, monthly gross derivation, employee detail with grade card.","Employees & Pay Grade","",,"In Progress","High","employees paygrade",""
"Story","Add 9×9 pay grade lattice (A1..I9) to Employee type","As an HR / Payroll team member I want a single canonical grade reference instead of raw rates.","","Employees & Pay Grade","5","Done","High","employees paygrade","- PayBand A-I + PayStep 1-9 = 81 grades
- Type definition in lib/types.ts
- payGrade required field on Employee
- 81 unique cells representable"
"Story","Pay mode classification: hourly / monthly / daily","As an HR member I want each employee classified by pay mode so payroll computes correct figure.","","Employees & Pay Grade","3","Done","High","employees paygrade","- payMode required on Employee
- Derivation: consultant/Consulting → hourly / Healthcare/Operations/Logistics/Manufacturing → 50/50 daily/monthly / else → monthly
- Deterministic per employee"
"Story","Monthly gross derivation per pay mode","As an HR member I want monthly gross computed automatically from declared rate.","","Employees & Pay Grade","2","Done","High","employees paygrade","- Hourly: rate
- Daily: rate × 8
- Monthly: rate × 8 × 22, rounded to nearest ₹100
- Surfaced in detail card"
"Story","Pay grade column in employees list (replace rate)","As an Agent Manager I want a scannable grade chip in the list instead of raw rate.","","Employees & Pay Grade","2","Done","Medium","employees paygrade list","- Pink monospace badge (E5 etc.)
- Replaces old Rate/hr column
- Bg pink-50, color pink-700, border pink-100"
"Story","Rename Leave column → Leave Balance","As an Agent Manager I want consistent column naming.","","Employees & Pay Grade","1","Done","Low","employees list","- Column header label updated
- Mini bar visual unchanged"
"Story","Pay Grade & Compensation card on detail page","As an HR member I want to see grade + tier + step + mode + rate + monthly gross in one glance.","","Employees & Pay Grade","5","Done","High","employees paygrade detail","- Card on Overview tab, pink-tinted
- Shows: large grade pill + band label + tier chip + step of 9
- 2 sub-tiles: pay mode + declared rate
- Monthly gross equivalent strip with mode-specific assumption text"
"Story","KPI pill shows pay grade (replace bill rate)","As an Agent Manager I want pay grade in employee header so I never see raw rate by accident.","","Employees & Pay Grade","1","Done","Low","employees paygrade detail","- Header KPI pills: code / pay grade / leave left
- Pay grade colored pink-700"
"Story","Per-client employees tab uses same column set","As an Account Manager I want consistent employee table inside a client page.","","Employees & Pay Grade","2","Done","Medium","employees clients","- Columns: Name / Role / Department / City / Pay Grade / Leave Balance / Status
- Pay grade rendered as same pink badge"
"Story","Department / Region / Status / Date-range filters","As an Agent Manager I want to slice employees by attributes.","","Employees & Pay Grade","3","Done","Medium","employees filters","- 4 multi-selects + date range
- Standard FilterDropdown
- Date range: joined-date filter"
"Story","Sort modes: name / rate / newest / leave","As an Agent Manager I want to sort employees by relevant axis.","","Employees & Pay Grade","1","Done","Low","employees","- 4 sort modes
- Default: name asc"
"Story","Generator-resolved employees have pay grade too","As a developer I want generated employees (not just seeded) to have grades so the list never shows blanks.","","Employees & Pay Grade","2","Done","Medium","employees paygrade generator","- Generator calls derivePayGradeFields()
- Same employee always resolves to same grade (deterministic)"
"Story","Pay grade taxonomy configurable per client","As an Operations Lead I want clients on L1-L8 (not A-I) to use their own taxonomy.","","Employees & Pay Grade","8","To Do","Low","employees paygrade v3","- Per-client config: band label override map
- Detail card uses client's labels
- Default falls back to A-I"
"Epic","Compliance Library","503 regulations with editorial detail pages; 7 categories × 32 regions × 24 authorities; gov-source links only.","Compliance Library","",,"In Progress","High","compliance library oracle",""
"Story","Ingest 493 real regulations from TeamLease scrape","As a Compliance Lead I want a populated library so I can browse the live regulatory landscape.","","Compliance Library","8","Done","High","compliance library","- 493 unique articles via WebFetch
- Categories: Labour 120 / Finance 78 / Industry Specific 184 / Secretarial 18 / EHS 65 / Commercial 27 / General 1
- 32 regions covered
- Source: lib/teamlease-articles.json"
"Story","10 hand-curated featured regulations with gov source URLs","As a Compliance Lead I want the most consequential regs surfaced with verified gov links.","","Compliance Library","3","Done","High","compliance library","- 10 featured regs hand-written
- Each links to specific gov notification PDF (EPFO / CBDT / state labour)
- ZERO links to TeamLease"
"Story","Source URL resolver: authority + region → gov portal","As a Compliance Lead I want every reg to point to the official gov source.","","Compliance Library","3","Done","High","compliance library","- resolveSourceUrl(authority, region, category)
- 24 authority → portal mapping
- Fallback: authority home page or category gov portal
- 0/503 regulations link to teamleaseregtech.com"
"Story","Library list with 6 filters + search + pagination","As a Compliance Lead I want to find regs fast.","","Compliance Library","3","Done","Medium","compliance library filters","- 6 multi-selects: category / impact area / region / client / risk / impact areas
- 1 toggle: action-required only
- Search: title / authority / summary / reference
- 25/page pagination"
"Story","Article detail page editorial layout","As a Compliance Lead I want a readable article view to share or quote.","","Compliance Library","8","Done","High","compliance library detail","- Route /compliance/[id]
- Sections: meta tags, title, byline, lead, context, key changes, requirements (numbered), deadlines card, penalty card (3 col), action steps, impact areas, affected clients, AI rec, official source, related regs
- Max-w-3xl centered column"
"Story","getArticleContent + getRelatedRegulations helpers","As a developer I want content derived deterministically per regulation.","","Compliance Library","5","Done","High","compliance library helpers","- getArticleContent(reg) returns intro/context/requirements/deadlines/penalty/actionSteps/affectedScope
- Mulberry32 seeded with reg.id + 7919
- getRelatedRegulations(reg, 5) by category OR authority match"
"Story","Clickable list cards route to /compliance/[id]","As a Compliance Lead I want to click into any reg from the list.","","Compliance Library","2","Done","Medium","compliance library","- Whole article card clickable via router.push
- External source link inside has stopPropagation"
"Story","Bookmark + Share (local-only in v2)","As a Compliance Lead I want to mark regs to come back to.","","Compliance Library","2","Done","Low","compliance library","- Bookmark toggle (local state)
- Share button (no-op v2)"
"Story","Bookmark persistence + Share copies link to clipboard","As a Compliance Lead I want bookmarks to survive a refresh and share to be one click.","","Compliance Library","5","To Do","Medium","compliance library v3","- Bookmarks persist server-side per user
- Share button copies URL with toast confirmation"
"Story","Comments / annotations on regulations","As a Compliance Lead I want internal notes on a reg so the team has shared context.","","Compliance Library","8","To Do","Low","compliance library v3","- Comment thread on each reg detail
- @mentions to AMs
- Notification when commented on"
"Epic","Policies & Workflows","23 policies grouped by 7 workflow subfunctions; AI Policy Creator; All-policies vs By-client view.","Policies & Workflows","",,"In Progress","High","policies lexi",""
"Story","Add 7 workflow subfunction type","As a Compliance Lead I want policies classified by what business process they govern, not just what kind of rule.","","Policies & Workflows","3","Done","High","policies workflows","- PolicyWorkflow type: timesheet-validation / onboarding / leave-attendance / payroll / compliance / exit / fnf
- Optional field on PolicyRule
- Derived at module load via deriveWorkflow"
"Story","deriveWorkflow inference from rule text","As a developer I want existing rules auto-classified by workflow without manual tagging.","","Policies & Workflows","3","Done","High","policies workflows","- Inspects name + description + trigger + action lower-cased
- Routes by keywords (fnf / exit / onboard / payroll / leave / compliance)
- Default: timesheet-validation
- Used at module load + after AI creation"
"Story","Seed 8 new rules covering onboarding/exit/fnf workflows","As a Compliance Lead I want every workflow to have visible rules so the library doesn't look empty.","","Policies & Workflows","2","Done","Medium","policies workflows","- 8 new rules: KYC completeness / bank pre-flight / sandwich leave / LOP recon / notice coverage / asset recovery / gratuity / leave encashment cap
- Spread across 5 workflows"
"Story","All policies vs By client tab structure","As a Compliance Lead I want to see global pool OR client-scoped view depending on context.","","Policies & Workflows","3","Done","High","policies","- 2 top tabs in header
- All policies: full pool
- By client: requires client selection
- Filter state preserved across tab switch"
"Story","Horizontal client picker rail in By client mode","As a Compliance Lead I want to switch between clients fast in by-client mode.","","Policies & Workflows","2","Done","Medium","policies","- Rail under header in By client mode
- 11 client chips with count badges
- Active state: tinted bg + colored border"
"Story","Filter bar with Workflow / Category / Severity / Client / Enabled / Search","As a Compliance Lead I want fine-grained policy filtering.","","Policies & Workflows","3","Done","Medium","policies filters","- Standard FilterDropdown × 4
- Enabled-only toggle
- Search: name / desc / trigger
- Clear chip when ≥1 active"
"Story","Stats strip: rules / active / applications / triggers","As a Compliance Lead I want a numeric overview of the policy posture.","","Policies & Workflows","2","Done","Medium","policies","- 4 metrics
- Numbers respect current filter set
- Client name + policy version pinned right in By client mode"
"Story","Body grouped by workflow with section headers","As a Compliance Lead I want rules organised so I read them per business process.","","Policies & Workflows","3","Done","High","policies","- Sections in WORKFLOWS order
- Each section: icon tile + label + count chip + description
- Empty workflow sections hide"
"Story","RuleCard with category icon + chips + trigger line + toggle pill","As a Compliance Lead I want each rule to be readable at a glance.","","Policies & Workflows","3","Done","Medium","policies","- Border-left 3px in category color
- Chips: severity / category / client (in All mode) / AI badge if generated
- Mono-styled trigger line
- Right-side labelled toggle pill (Enabled/Disabled)"
"Story","AI Policy Creator modal: input → preview → save","As a Compliance Lead I want to add a rule by typing plain English instead of writing logic.","","Policies & Workflows","5","Done","High","policies lexi","- 4-stage flow: input / thinking / preview / saved
- Input textarea + 6 quick suggestions
- Preview shows inferred category + severity + AI badge + editable name + mono trigger
- Save assigns workflow via deriveWorkflow"
"Story","parseAIRule: regex inference of category + severity + trigger","As a Compliance Lead I want quick parsing in v2 even without backend LLM.","","Policies & Workflows","3","Done","Medium","policies lexi","- Category from keywords (overtime/leave/hour/attendance/payroll → else compliance)
- Severity from cannot/must (violation/warning/info)
- Trigger pulls first numeric value into per-category template"
